0.9983956121,0.0061079444,0.0562929379,-0.1892272172,-0.0566225149,0.1130393521,0.9919758040,-0.1140410219,-0.0003043842,-0.9935717377,0.1132038403,0.0702579359,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9984024397,0.0061968622,0.0561619733,-0.1889763567,-0.0565024517,0.1130723945,0.9919788841,-0.1153436966,-0.0002032124,-0.9935674273,0.1132418925,0.0697170738,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983974908,0.0062287816,0.0562463571,-0.1884421889,-0.0565899363,0.1129087088,0.9919925416,-0.1154576001,-0.0001717986,-0.9935858422,0.1130802579,0.0711152020,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983936073,0.0062009189,0.0563183223,-0.1888034558,-0.0566582587,0.1130516271,0.9919723642,-0.1149018652,-0.0002157378,-0.9935697651,0.1132213550,0.0701637514,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983915632,0.0061876103,0.0563560107,-0.1899131964,-0.0566942514,0.1128168896,0.9919970319,-0.1154330111,-0.0002198188,-0.9935965292,0.1129862327,0.0718717544,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983897331,0.0061546604,0.0563920288,-0.1893299398,-0.0567262898,0.1129170689,0.9919838021,-0.1154027925,-0.0002622992,-0.9935853540,0.1130843733,0.0713701227,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983972433,0.0063692251,0.0562350199,-0.1889613048,-0.0565945498,0.1130219582,0.9919793818,-0.1137937596,-0.0000376521,-0.9935720759,0.1132012749,0.0697881341,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983936178,0.0063385225,0.0563028154,-0.1892346834,-0.0566584365,0.1129886739,0.9919795266,-0.1145109218,-0.0000738959,-0.9935760578,0.1131663016,0.0702630608,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983942392,0.0061143942,0.0563165816,-0.1898858257,-0.0566467463,0.1130077744,0.9919780184,-0.1153570384,-0.0002988669,-0.9935752901,0.1131726715,0.0709611602,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983973134,0.0061914293,0.0562536291,-0.1898100095,-0.0565929364,0.1129155021,0.9919915972,-0.1149937185,-0.0002100609,-0.9935853036,0.1130849251,0.0710563563,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983955975,0.0061915387,0.0562840632,-0.1894946884,-0.0566231885,0.1129118119,0.9919902909,-0.1148431977,-0.0002131893,-0.9935857223,0.1130812406,0.0715614946,0.0000000000,0.0000000000,0.0000000000,1.0000000000
0.9983952483,0.0062821170,0.0562802197,-0.1894882642,-0.0566296122,0.1129151559,0.9919895436,-0.1134328630,-0.0001230954,-0.9935847737,0.1130897090,0.0714464785,0.0000000000,0.0000000000,0.0000000000,1.0000000000
